Headline,Summary,Category,Date Published,Link to Article
Some men whose prostate cancer progresses can safely delay treatment,"Prostate cancer can progress over long durations, and if a man’s tumor has features that predict slow growth, he can opt for active surveillance instead of immediate treatment. But when the time for treatment comes, up to a third of men still decide against it. Now, a new study finds that for some of these men, treatment can be safely delayed.",Men's Health,"May 27, 2022",https://www.health.harvard.edu/blog/some-men-whose-prostate-cancer-progresses-can-safely-delay-treatment-202205232749
Heart-healthy habits for children and teens lengthen lives,"Researchers who began collecting data on thousands of people, starting when they were children and following up decades later, found that five risk factors influence health outcomes in adulthood. Parents should know the important steps they can take to get their children started toward healthy lives as adults.",Child & Teen Health,"May 26, 2022",https://www.health.harvard.edu/blog/heart-healthy-habits-for-children-and-teens-lengthen-lives-202205262753
Monkeypox: An unfamiliar virus spreading fast — sound familiar?,"More than two years after COVID-19 reached the US, an outbreak of monkeypox is spreading fast outside of Africa. This virus is not new, and it’s likely to be less dangerous than COVID, but it’s still important to be aware of its symptoms, spread, treatment, and prevention.",Diseases & Conditions,"May 25, 2022",https://www.health.harvard.edu/blog/monkeypox-an-unfamiliar-virus-spreading-fast-sound-familiar-202205252752
Diabetes: Does a long-term study reinforce or change approaches to prevention?,"Over two decades ago, the Diabetes Prevention Program study showed that type 2 diabetes could be slowed or even prevented in people with early signs of it. Now, a long-term follow-up study focusing on death rates from several causes has produced some surprising results.",Staying Healthy,"May 24, 2022",https://www.health.harvard.edu/blog/diabetes-does-a-long-term-study-reinforce-or-change-approaches-to-prevention-202205242750
War anxiety: How to cope,"News and social media are filled with disturbing stories and images. Anxiety about war, coming on top of two years of the pandemic, is hitting us particularly hard. The symptoms of war anxiety can be physical or mental; knowing what tools to use and how can help break the anxiety cycle.",Staying Healthy,"May 23, 2022",https://www.health.harvard.edu/blog/war-anxiety-how-to-cope-202205232748
Can we prevent depression in older adults by treating insomnia?,"Depression is common among older adults, and insomnia doubles the risk of major depressive disorder. There is increasing evidence that treating insomnia in older people who have both insomnia and major depression has the potential to improve both their sleep and their mood.",Mind & Mood,"February 16, 2022",https://www.health.harvard.edu/blog/can-we-prevent-depression-in-older-adults-by-treating-insomnia-202202162687
Want to try veganism? Here's how to get started,"Some people decide to adopt a vegan diet because of concerns about the health effects of eating animal products; for others it’s more about concern for animal welfare and the environment. Regardless of the motivation, those who want to make this change should anticipate potential pitfalls and be aware of issues specific to vegan eating.",Staying Healthy,"May 19, 2022",https://www.health.harvard.edu/blog/want-to-try-veganism-heres-how-to-get-started-202205172745
Vitamin B6 flies under the radar: Are you getting enough?,"Vitamin B6 helps with the body’s enzyme reactions, immune system health, brain chemicals, and more, but it doesn’t get a lot of attention. The body can’t synthesize it, so people need to get it from food, and a recent study found that a surprisingly high percentage of people may be deficient in vitamin B6.",Nutrition,"May 18, 2022",https://www.health.harvard.edu/blog/vitamin-b6-flies-under-the-radar-are-you-getting-enough-202205182744
The formula shortage is hurting families: What parents should know and do,"With the current baby formula shortage, parents all over the country are upset, confused, and scared. While formula companies and the government are working to restore the supply, it may take a while before it's easy to buy formula. In the meantime, here are some do’s and don’ts for parents to be aware of.",Child & Teen Health,"May 17, 2022",https://www.health.harvard.edu/blog/the-formula-shortage-is-hurting-families-what-parents-should-know-and-do-202205172747
Gyn Care 101: What to know about seeing a gynecologist,"There are many reasons you might want or need to see a gynecologist or seek gyn care from your health care team. It helps to understand who will provide your care, what to expect during the visit, what to discuss, and how to have a positive experience during the visit.",Women's Health,"May 16, 2022",https://www.health.harvard.edu/blog/gyn-care-101-what-to-know-about-seeing-a-gynecologist-202205162746
